reclat,reclon, 
42.95836,-78.8225, 
42.95836,-78.8225, 
42.95836,-78.82251, 
42.95836,-78.8225, 
42.95836,-78.8225, 
42.95836,-78.8225, 
42.95836,-78.82249, 
42.95835,-78.82251, 
42.95834,-78.8225, 
42.95833,-78.82249, 
42.95833,-78.82247, 
42.95834,-78.82247, 
42.95835,-78.82248, 
42.95836,-78.82249, 
42.95835,-78.82251, 
42.95834,-78.82252, 
42.95832,-78.82253, 
42.9583,-78.82254, 
42.95828,-78.82254, 
42.95827,-78.82255, 
42.95825,-78.82255, 
42.95823,-78.82256, 
42.95822,-78.82256, 
42.95821,-78.82257, 
42.95819,-78.82257, 
42.95818,-78.82258, 
42.95817,-78.82258, 
42.95817,-78.82258, 
42.95816,-78.82258, 
42.95815,-78.82257, 
42.95813,-78.82257, 
42.95812,-78.82256, 
42.95811,-78.82255, 
42.9581,-78.82254, 
42.95809,-78.82254, 
42.95808,-78.82253, 
42.95807,-78.82252, 
42.95805,-78.82252, 
42.95804,-78.82251, 
42.95803,-78.8225, 
42.95803,-78.82248, 
42.95804,-78.82248, 
42.95805,-78.82248, 
42.95806,-78.8225, 
42.95806,-78.82251, 
42.95806,-78.82251, 
42.95807,-78.8225, 
42.95808,-78.82251, 
42.95808,-78.82251, 
42.95808,-78.82251, 
42.95807,-78.82249, 
42.95807,-78.82247, 
42.95807,-78.82245, 
42.95806,-78.82244, 
42.95805,-78.82242, 
42.95805,-78.8224, 
42.95804,-78.82239, 
42.95803,-78.82237, 
42.95802,-78.82236, 
42.95802,-78.82235, 
42.95801,-78.82233, 
42.958,-78.82231, 
42.95799,-78.8223, 
42.95798,-78.82228, 
42.95798,-78.82227, 
42.95797,-78.82225, 
42.95796,-78.82225, 
42.95796,-78.82226, 
42.95797,-78.82226, 
42.95797,-78.82226, 
42.95797,-78.82224, 
42.95797,-78.82224, 
42.95798,-78.82225, 
42.95797,-78.82225, 
42.95796,-78.82225, 
42.95794,-78.82224, 
42.95793,-78.82225, 
42.95793,-78.82226, 
42.95793,-78.82227, 
42.95794,-78.82228, 
42.95795,-78.82228, 
42.95796,-78.82228, 
42.95797,-78.82228, 
42.95798,-78.82227, 
42.95799,-78.82226, 
42.958,-78.82226, 
42.95801,-78.82225, 
42.95802,-78.82224, 
42.95803,-78.82223, 
42.95804,-78.82222, 
42.95804,-78.8222, 
42.95804,-78.82218, 
42.95804,-78.82217, 
42.95804,-78.82215, 
42.95804,-78.82213, 
42.95804,-78.82212, 
42.95805,-78.8221, 
42.95805,-78.82209, 
42.95805,-78.82207, 
42.95805,-78.82205, 
42.95805,-78.82203, 
